"|","|__answer","|__chart","|__value"
"Mar25-150-15540-1","the chance of drawing a blue marble is likely.","arc","75"
"Mar25-150-15540-10","the chance of drawing a blue marble is decent. ","arc","70"
"Mar25-150-15540-11","the chance of drawing a blue marble is high. ","arc","80"
"Mar25-150-15540-12","the chance of drawing a blue marble is very low. ","arc","10"
"Mar25-150-15540-13","the chance of drawing a blue marble is a little more than half. ","arc","60"
"Mar25-150-15540-14","there is a likely chance of drawing a blue marble. ","arc","45"
"Mar25-150-15540-15","it is likely that you will not draw a blue marble. ","arc","30"
"Mar25-150-15540-16","there is a high chance of drawing a blue marble. ","arc","75"
"Mar25-150-15540-17","drawing a blue marble is guaranteed. ","arc","100"
"Mar25-150-15540-18","the chance of drawing a blue marble is decent. ","arc","40"
"Mar25-150-15540-19","the chance of drawing a blue marble is half. ","arc","55"
"Mar25-150-15540-2","there is no chance of picking a blue marble.","arc","0"
"Mar25-150-15540-20","it is unlikely a blue marble will be drawn. ","arc","20"
"Mar25-150-15540-21","the chance of drawing a blue marble is assured. ","arc","95"
"Mar25-150-15540-3","the chance of drawing a blue marble is very likely. ","arc","85"
"Mar25-150-15540-4","the chance of drawing a blue marble is less than half. ","arc","35"
"Mar25-150-15540-5","there is an equal chance of drawing a blue or pink marble.","arc","50"
"Mar25-150-15540-6","the chance of drawing a blue marble is unlikely. ","arc","25"
"Mar25-150-15540-7","the chance of drawing a blue marble is very unlikely. ","arc","15"
"Mar25-150-15540-8","the chance of drawing a blue marble is very high. ","arc","90"
"Mar25-150-15540-9","the chance of drawing a blue marble is very low. ","arc","5"
"Mar25-2210-16722-1","This visualisation feels reassuring as it shows that the odds are in my favour and I have a higher chance of picking the desired colour against usual chance based games when the odds are in the houses favour. ","arc","75"
"Mar25-2210-16722-2","Pointless to attempt picking a winning marble when the visualisation shows that there is no blue marbles in the bag. It makes me feel that the game is unfair or set up for me not to be able to win. ","arc","0"
"Mar25-2210-16722-3","Although not guaranteed, I feel confident in my chances of picking a blue marble. More so than the last two visualisations. My expectations of picking a blue marble would be quite high. I makes me think that is it a safe bet or an easy win with the amount of blue marbles against pink. ","arc","85"
"Mar25-2210-16722-4","Probably lose the game but I would still play. There is enough blue marbles in the bag for me to think that I could get lucky. This is what I would think a visualisation of fairground rides would look like.  ","arc","35"
"Mar25-228-34820-1","There is a high chance of picking a blue marble and therefore winning.","arc","75"
"Mar25-228-34820-10","You have a slightly higher chance of pulling out a blue marble from this hat and therefore winning, but it is very close to similar numbers of each colour.","arc","70"
"Mar25-228-34820-11","You have a higher chance of pulling out a blue marble and therefore winning this game.","arc","80"
"Mar25-228-34820-12","You have a very slim chance of winning at this game as most of the marbles are pink.","arc","10"
"Mar25-228-34820-13","The numbers of pink and blue are very similar in this bag but there are slightly more blue.","arc","60"
"Mar25-228-34820-14","Your chance of winnings is very close to evens on this bag with just a little bit more blue than pink.","arc","45"
"Mar25-228-34820-15","Chances are you would more often than not pull pink out of this bag and therefore lose.","arc","30"
"Mar25-228-34820-16","Slightly higher chance of winning than loosing.","arc","75"
"Mar25-228-34820-17","You can only win on this game as they are all blue.","arc","100"
"Mar25-228-34820-18","Probability of winning is slightly less than that of loosing.","arc","40"
"Mar25-228-34820-19","Slightly higher chance of winning than loosing in this game.","arc","55"
"Mar25-228-34820-2","You can only lose this game as they are all pink.","arc","0"
"Mar25-228-34820-20","Very small chance of winning this game.","arc","20"
